,features,rank
90,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.5714285714285714,0.0975609756097561,0.10303030303030303,0.027098022950366375,0.09375,0.038461538461538464])",99
91,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.07142857142857142,0.024390243902439025,0.3373737373737374,0.016590626296142677,0.4375,0.38461538461538464])",86
92,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.2309523809523809,0.2682926829268293,0.30828282828282827,0.0027651043826904466,0.140625,0.11538461538461539])",21
93,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.12979598816972818,0.41269761904761904,0.30081219512195123,0.33872060606060606,0.10714779482925481,0.140625,0.13461538461538464])",39
94,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.16304347826086957,0.125,0.21951219512195122,0.26666666666666666,0.028757085579980645,0.125,0.13461538461538464])",80
95,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.041666666666666664,0.16304347826086957,0.14285714285714285,0.0975609756097561,0.21212121212121213,0.052675238490253004,0.234375,0.11538461538461539])",94
96,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.12979598816972818,0.22023809523809523,0.23475609756097562,0.2532828282828283,0.06760680215678141,0.3125,0.09615384615384616])",22
97,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.08333333333333333,0.17391304347826086,0.41269761904761904,0.17886097560975608,0.27138040404040403,0.22646204894234756,0.15625,0.15384615384615385])",79
98,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.125,0.12979598816972818,0.06547619047619047,0.06707317073170732,0.27575757575757576,0.42541130927692516,0.3125,0.34615384615384615])",79
99,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.125,0.12979598816972818,0.08928571428571427,0.07926829268292683,0.2515151515151515,0.2553573897414627,0.234375,0.23076923076923078])",81
100,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.16666666666666666,0.12979598816972818,0.14761904761904762,0.05365853658536586,0.3208080808080808,0.16535324208488872,0.1875,0.17307692307692307])",80
101,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.16666666666666666,0.33695652173913043,0.12380952380952381,0.10243902439024391,0.28444444444444444,0.6362505184570718,0.3125,0.34615384615384615])",78
102,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.20833333333333331,0.25,0.29523809523809524,0.014634146341463417,0.2884848484848485,0.43177104935711325,0.3125,0.34615384615384615])",93
103,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.3333333333333333,0.32608695652173914,0.13095238095238093,0.20288292682926828,0.2716252525252525,0.04631549841006498,0.125,0.11538461538461539])",1
104,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.4583333333333333,0.12979598816972818,0.24327142857142856,0.18557804878048784,0.29767232323232323,0.048942347573620905,0.21875,0.13461538461538464])",7
105,"(26,[1,2,3,17,18,19,20,21,22,23,24],[1.0,1.0,1.0,0.5833333333333333,0.12979598816972818,0.18012380952380952,0.13043414634146341,0.30303030303030304,0.04686851928660307,0.140625,0.15384615384615385])",2
106,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.5300214285714285,0.5440073170731707,0.2658761616161616,0.00041476565740356696,0.21875,0.019230769230769232,0.02])",18
107,"(26,[1,2,3,17,18,19,20,21,22,23,24,25],[1.0,1.0,1.0,0.041666666666666664,0.10869565217391304,0.6964285714285714,0.38414634146341464,0.2863636363636364,0.026821512512097332,0.203125,0.19230769230769232,0.02])",96
